scientific_name,common_name
actinodura souliei,streaked barwing
actinodura cyanouroptera,blue-winged minla
actinodura strigula,chestnut-tailed minla
actinodura egertoni,rusty-fronted barwing
actinodura ramsayi,spectacled barwing
actinodura sodangorum,black-crowned barwing
leiothrix lutea,red-billed leiothrix
leiothrix argentauris,silver-eared mesia
minla ignotincta,red-tailed minla
leioptila annectens,rufous-backed sibia
liocichla bugunorum,bugun liocichla
liocichla omeiensis,gray-faced liocichla
liocichla steerii,steere's liocichla
liocichla phoenicea,red-faced liocichla
liocichla ripponi,scarlet-faced liocichla
argya malcolmi,large gray babbler
argya cinereifrons,ashy-headed laughingthrush
argya longirostris,slender-billed babbler
argya subrufa,rufous babbler
argya rufescens,orange-billed babbler
argya striata,jungle babbler
argya affinis,yellow-billed babbler
argya rubiginosa,rufous chatterer
argya aylmeri,scaly chatterer
argya altirostris,iraq babbler
argya huttoni,afghan babbler
argya caudata,common babbler
argya fulva,fulvous chatterer
argya squamiceps,arabian babbler
argya earlei,striated babbler
argya gularis,white-throated babbler
turdoides nipalensis,spiny babbler
turdoides atripennis,capuchin babbler
turdoides gilberti,white-throated mountain-babbler
turdoides chapini,chapin's mountain-babbler
turdoides rufocinctus,red-collared mountain-babbler
turdoides plebejus,brown babbler
turdoides leucopygia,white-rumped babbler
turdoides hindei,hinde's pied-babbler
turdoides squamulata,scaly babbler
turdoides jardineii,arrow-marked babbler
turdoides gymnogenys,bare-cheeked babbler
turdoides leucocephala,cretzschmar's babbler
turdoides reinwardtii,blackcap babbler
turdoides tenebrosa,dusky babbler
turdoides bicolor,southern pied-babbler
turdoides hartlaubii,hartlaub's babbler
turdoides sharpei,black-lored babbler
turdoides melanops,black-faced babbler
turdoides hypoleuca,northern pied-babbler
garrulax merulinus,spot-breasted laughingthrush
garrulax annamensis,orange-breasted laughingthrush
garrulax canorus,chinese hwamei
garrulax taewanus,taiwan hwamei
garrulax monileger,lesser necklaced laughingthrush
garrulax rufifrons,rufous-fronted laughingthrush
garrulax palliatus,sunda laughingthrush
garrulax leucolophus,white-crested laughingthrush
garrulax bicolor,sumatran laughingthrush
garrulax milleti,black-hooded laughingthrush
garrulax strepitans,white-necked laughingthrush
garrulax ferrarius,cambodian laughingthrush
garrulax maesi,gray laughingthrush
garrulax castanotis,rufous-cheeked laughingthrush
ianthocincla sukatschewi,snowy-cheeked laughingthrush
ianthocincla rufogularis,rufous-chinned laughingthrush
ianthocincla konkakinhensis,chestnut-eared laughingthrush
ianthocincla cineracea,moustached laughingthrush
ianthocincla ocellata,spotted laughingthrush
ianthocincla maxima,giant laughingthrush
ianthocincla bieti,biet's laughingthrush
ianthocincla lunulata,barred laughingthrush
pterorhinus delesserti,wayanad laughingthrush
pterorhinus gularis,rufous-vented laughingthrush
pterorhinus vassali,white-cheeked laughingthrush
pterorhinus galbanus,yellow-throated laughingthrush
pterorhinus courtoisi,blue-crowned laughingthrush
pterorhinus mitratus,chestnut-capped laughingthrush
pterorhinus treacheri,chestnut-hooded laughingthrush
pterorhinus ruficollis,rufous-necked laughingthrush
pterorhinus nuchalis,chestnut-backed laughingthrush
pterorhinus chinensis,black-throated laughingthrush
pterorhinus sannio,white-browed laughingthrush
pterorhinus perspicillatus,masked laughingthrush
pterorhinus pectoralis,greater necklaced laughingthrush
pterorhinus davidi,pere david's laughingthrush
pterorhinus woodi,mount victoria babax
pterorhinus lanceolatus,chinese babax
pterorhinus waddelli,giant babax
pterorhinus koslowi,tibetan babax
pterorhinus albogularis,white-throated laughingthrush
pterorhinus ruficeps,rufous-crowned laughingthrush
pterorhinus caerulatus,gray-sided laughingthrush
pterorhinus berthemyi,buffy laughingthrush
pterorhinus poecilorhynchus,rusty laughingthrush
corthylio calendula,ruby-crowned kinglet
regulus satrapa,golden-crowned kinglet
regulus regulus,goldcrest
regulus goodfellowi,flamecrest
regulus madeirensis,madeira firecrest
regulus ignicapilla,common firecrest
tichodroma muraria,wallcreeper
sitta castanea,indian nuthatch
sitta cinnamoventris,chestnut-bellied nuthatch
sitta neglecta,burmese nuthatch
sitta europaea,eurasian nuthatch
sitta nagaensis,chestnut-vented nuthatch
sitta cashmirensis,kashmir nuthatch
sitta himalayensis,white-tailed nuthatch
sitta victoriae,white-browed nuthatch
sitta canadensis,red-breasted nuthatch
sitta leucopsis,white-cheeked nuthatch
sitta przewalskii,przevalski's nuthatch
sitta carolinensis,white-breasted nuthatch
sitta pygmaea,pygmy nuthatch
sitta pusilla,brown-headed nuthatch
sitta insularis,bahama nuthatch
sitta whiteheadi,corsican nuthatch
sitta ledanti,algerian nuthatch
sitta krueperi,krã¼per's nuthatch
sitta villosa,snowy-browed nuthatch
sitta yunnanensis,yunnan nuthatch
sitta neumayer,western rock nuthatch
sitta tephronota,eastern rock nuthatch
sitta frontalis,velvet-fronted nuthatch
sitta solangiae,yellow-billed nuthatch
sitta oenochlamys,sulphur-billed nuthatch
sitta azurea,blue nuthatch
sitta magna,giant nuthatch
sitta formosa,beautiful nuthatch
certhia familiaris,eurasian treecreeper
certhia hodgsoni,hodgson's treecreeper
certhia tianquanensis,sichuan treecreeper
certhia americana,brown creeper
certhia brachydactyla,short-toed treecreeper
certhia himalayana,bar-tailed treecreeper
certhia nipalensis,rusty-flanked treecreeper
certhia discolor,sikkim treecreeper
certhia manipurensis,hume's treecreeper
salpornis salvadori,african spotted creeper
microbates collaris,collared gnatwren
microbates cinereiventris,tawny-faced gnatwren
ramphocaenus melanurus,long-billed gnatwren
ramphocaenus sticturus,chattering gnatwren
polioptila guianensis,guianan gnatcatcher
polioptila schistaceigula,slate-throated gnatcatcher
polioptila clementsi,iquitos gnatcatcher
polioptila facilis,rio negro gnatcatcher
polioptila attenboroughi,inambari gnatcatcher
polioptila paraensis,klages's gnatcatcher
polioptila dumicola,masked gnatcatcher
polioptila lactea,creamy-bellied gnatcatcher
polioptila lembeyei,cuban gnatcatcher
polioptila plumbea,tropical gnatcatcher
polioptila albiventris,yucatan gnatcatcher
polioptila bilineata,white-browed gnatcatcher
polioptila caerulea,blue-gray gnatcatcher
polioptila melanura,black-tailed gnatcatcher
polioptila californica,california gnatcatcher
polioptila nigriceps,black-capped gnatcatcher
polioptila albiloris,white-lored gnatcatcher
salpinctes obsoletus,rock wren
microcerculus philomela,nightingale wren
microcerculus marginatus,scaly-breasted wren
microcerculus ustulatus,flutist wren
microcerculus bambla,wing-banded wren
odontorchilus branickii,gray-mantled wren
odontorchilus cinereus,tooth-billed wren
catherpes mexicanus,canyon wren
hylorchilus sumichrasti,sumichrast's wren
hylorchilus navai,nava's wren
ferminia cerverai,zapata wren
troglodytes aedon,house wren
troglodytes cobbi,cobb's wren
troglodytes sissonii,socorro wren
troglodytes tanneri,clarion wren
troglodytes rufociliatus,rufous-browed wren
troglodytes ochraceus,ochraceous wren
troglodytes solstitialis,mountain wren
troglodytes monticola,santa marta wren
troglodytes rufulus,tepui wren
troglodytes troglodytes,eurasian wren
troglodytes pacificus,pacific wren
troglodytes hiemalis,winter wren
thryorchilus browni,timberline wren
cistothorus stellaris,sedge wren
cistothorus platensis,grass wren
cistothorus meridae,merida wren
cistothorus apolinari,apolinar's wren
cistothorus palustris,marsh wren
thryothorus ludovicianus,carolina wren
thryomanes bewickii,bewick's wren
campylorhynchus albobrunneus,white-headed wren
campylorhynchus zonatus,band-backed wren
campylorhynchus megalopterus,gray-barred wren
campylorhynchus chiapensis,giant wren
campylorhynchus rufinucha,rufous-naped wren
campylorhynchus gularis,spotted wren
campylorhynchus jocosus,boucard's wren
campylorhynchus yucatanicus,yucatan wren
campylorhynchus brunneicapillus,cactus wren
campylorhynchus nuchalis,stripe-backed wren
campylorhynchus fasciatus,fasciated wren
campylorhynchus griseus,bicolored wren
campylorhynchus turdinus,thrush-like wren
pheugopedius fasciatoventris,black-bellied wren
pheugopedius euophrys,plain-tailed wren
pheugopedius eisenmanni,inca wren
pheugopedius mystacalis,whiskered wren
pheugopedius genibarbis,moustached wren
pheugopedius coraya,coraya wren
pheugopedius rutilus,rufous-breasted wren
pheugopedius maculipectus,spot-breasted wren
pheugopedius sclateri,speckle-breasted wren
pheugopedius felix,happy wren
pheugopedius atrogularis,black-throated wren
thryophilus sinaloa,sinaloa wren
thryophilus pleurostictus,banded wren
thryophilus rufalbus,rufous-and-white wren
thryophilus sernai,antioquia wren
thryophilus nicefori,niceforo's wren
cantorchilus thoracicus,stripe-breasted wren
cantorchilus leucopogon,stripe-throated wren
cantorchilus modestus,cabanis's wren
cantorchilus zeledoni,canebrake wren
cantorchilus elutus,isthmian wren
cantorchilus semibadius,riverside wren
cantorchilus nigricapillus,bay wren
cantorchilus superciliaris,superciliated wren
cantorchilus leucotis,buff-breasted wren
cantorchilus longirostris,long-billed wren
cantorchilus guarayanus,fawn-breasted wren
cantorchilus griseus,gray wren
cinnycerthia unirufa,rufous wren
cinnycerthia olivascens,sharpe's wren
cinnycerthia peruana,peruvian wren
cinnycerthia fulva,fulvous wren
uropsila leucogastra,white-bellied wren
henicorhina leucosticta,white-breasted wood-wren
henicorhina leucoptera,bar-winged wood-wren
henicorhina leucophrys,gray-breasted wood-wren
henicorhina anachoreta,hermit wood-wren
henicorhina negreti,munchique wood-wren
cyphorhinus thoracicus,chestnut-breasted wren
cyphorhinus phaeocephalus,song wren
cyphorhinus arada,musician wren
elachura formosa,spotted elachura
cinclus cinclus,white-throated dipper
cinclus pallasii,brown dipper
cinclus mexicanus,american dipper
cinclus leucocephalus,white-capped dipper
cinclus schulzii,rufous-throated dipper
buphagus erythrorynchus,red-billed oxpecker
buphagus africanus,yellow-billed oxpecker
rhabdornis mystacalis,stripe-sided rhabdornis
rhabdornis grandis,long-billed rhabdornis
rhabdornis inornatus,stripe-breasted rhabdornis
rhabdornis rabori,visayan rhabdornis
enodes erythrophris,fiery-browed myna
scissirostrum dubium,finch-billed myna
aplonis metallica,metallic starling
aplonis mystacea,yellow-eyed starling
aplonis crassa,tanimbar starling
aplonis feadensis,atoll starling
aplonis insularis,rennell starling
aplonis magna,long-tailed starling
aplonis brunneicapillus,white-eyed starling
aplonis grandis,brown-winged starling
aplonis dichroa,makira starling
aplonis zelandica,rusty-winged starling
aplonis striata,striated starling
aplonis pelzelni,pohnpei starling
aplonis cantoroides,singing starling
aplonis santovestris,mountain starling
aplonis panayensis,asian glossy starling
aplonis mysolensis,moluccan starling
aplonis minor,short-tailed starling
aplonis opaca,micronesian starling
aplonis tabuensis,polynesian starling
aplonis atrifusca,samoan starling
aplonis corvina,kosrae starling
aplonis cinerascens,rarotonga starling
aplonis mavornata,mysterious starling
aplonis fusca,norfolk starling
aplonis ulietensis,raiatea starling
basilornis celebensis,sulawesi myna
basilornis galeatus,helmeted myna
basilornis corythaix,long-crested myna
goodfellowia miranda,apo myna
sarcops calvus,coleto
streptocitta albicollis,white-necked myna
streptocitta albertinae,bare-eyed myna
mino dumontii,yellow-faced myna
mino anais,golden myna
mino kreffti,long-tailed myna
ampeliceps coronatus,golden-crested myna
gracula ptilogenys,sri lanka myna
gracula religiosa,common hill myna
gracula venerata,tenggara hill myna
gracula indica,southern hill myna
sturnus vulgaris,european starling
sturnus unicolor,spotless starling
creatophora cinerea,wattled starling
pastor roseus,rosy starling
agropsar sturninus,daurian starling
agropsar philippensis,chestnut-cheeked starling
gracupica nigricollis,black-collared starling
gracupica contra,indian pied starling
gracupica floweri,siamese pied starling
gracupica jalla,javan pied starling
sturnornis albofrontatus,white-faced starling
leucopsar rothschildi,bali myna
necropsar rodericanus,rodrigues starling
fregilupus varius,reunion starling
sturnia sinensis,white-shouldered starling
sturnia pagodarum,brahminy starling
sturnia malabarica,chestnut-tailed starling
sturnia blythii,malabar starling
sturnia erythropygia,white-headed starling
spodiopsar sericeus,red-billed starling
spodiopsar cineraceus,white-cheeked starling
acridotheres tristis,common myna
acridotheres ginginianus,bank myna
acridotheres burmannicus,burmese myna
acridotheres leucocephalus,vinous-breasted myna
acridotheres melanopterus,black-winged myna
acridotheres fuscus,jungle myna
acridotheres javanicus,javan myna
acridotheres cinereus,pale-bellied myna
acridotheres albocinctus,collared myna
acridotheres grandis,great myna
acridotheres cristatellus,crested myna
hartlaubius auratus,madagascar starling
cinnyricinclus leucogaster,violet-backed starling
onychognathus tenuirostris,slender-billed starling
onychognathus nabouroup,pale-winged starling
onychognathus neumanni,neumann's starling
onychognathus morio,red-winged starling
onychognathus fulgidus,chestnut-winged starling
onychognathus walleri,waller's starling
onychognathus tristramii,tristram's starling
onychognathus albirostris,white-billed starling
onychognathus salvadorii,bristle-crowned starling
onychognathus blythii,somali starling
onychognathus frater,socotra starling
neocichla gutturalis,babbling starling
grafisia torquata,white-collared starling
speculipastor bicolor,magpie starling
pholia sharpii,sharpe's starling
arizelopsar femoralis,abbott's starling
poeoptera lugubris,narrow-tailed starling
poeoptera stuhlmanni,stuhlmann's starling
poeoptera kenricki,kenrick's starling
notopholia corusca,black-bellied starling
hylopsar purpureiceps,purple-headed starling
hylopsar cupreocauda,copper-tailed starling
lamprotornis hildebrandti,hildebrandt's starling
lamprotornis shelleyi,shelley's starling
lamprotornis australis,burchell's starling
lamprotornis purpuroptera,rã¼ppell's starling
lamprotornis caudatus,long-tailed glossy starling
lamprotornis mevesii,meves's starling
lamprotornis unicolor,ashy starling
lamprotornis ornatus,principe starling
lamprotornis regius,golden-breasted starling
lamprotornis superbus,superb starling
lamprotornis pulcher,chestnut-bellied starling
lamprotornis bicolor,african pied starling
lamprotornis albicapillus,white-crowned starling
lamprotornis fischeri,fischer's starling
lamprotornis chloropterus,lesser blue-eared starling
lamprotornis acuticaudus,sharp-tailed starling
lamprotornis chalybaeus,greater blue-eared starling
lamprotornis iris,emerald starling
lamprotornis purpureus,purple starling
lamprotornis nitens,cape starling
lamprotornis chalcurus,bronze-tailed starling
melanotis caerulescens,blue mockingbird
melanotis hypoleucus,blue-and-white mockingbird
melanoptila glabrirostris,black catbird
dumetella carolinensis,gray catbird
ramphocinclus brachyurus,white-breasted thrasher
allenia fusca,scaly-breasted thrasher
margarops fuscatus,pearly-eyed thrasher
cinclocerthia ruficauda,brown trembler
cinclocerthia gutturalis,gray trembler
toxostoma curvirostre,curve-billed thrasher
toxostoma ocellatum,ocellated thrasher
toxostoma rufum,brown thrasher
toxostoma longirostre,long-billed thrasher
toxostoma guttatum,cozumel thrasher
toxostoma bendirei,bendire's thrasher
toxostoma cinereum,gray thrasher
toxostoma redivivum,california thrasher
toxostoma lecontei,leconte's thrasher
toxostoma crissale,crissal thrasher
oreoscoptes montanus,sage thrasher
mimus thenca,chilean mockingbird
mimus patagonicus,patagonian mockingbird
mimus saturninus,chalk-browed mockingbird
mimus triurus,white-banded mockingbird
mimus dorsalis,brown-backed mockingbird
mimus gundlachii,bahama mockingbird
mimus parvulus,galapagos mockingbird
mimus trifasciatus,floreana mockingbird
mimus macdonaldi,espaã±ola mockingbird
mimus melanotis,san cristobal mockingbird
mimus longicaudatus,long-tailed mockingbird
mimus graysoni,socorro mockingbird
mimus gilvus,tropical mockingbird
mimus polyglottos,northern mockingbird
grandala coelicolor,grandala
sialia sialis,eastern bluebird
sialia mexicana,western bluebird
sialia currucoides,mountain bluebird
stizorhina fraseri,rufous flycatcher-thrush
stizorhina finschi,finsch's flycatcher-thrush
neocossyphus rufus,red-tailed ant-thrush
neocossyphus poensis,white-tailed ant-thrush
myadestes townsendi,townsend's solitaire
myadestes occidentalis,brown-backed solitaire
myadestes elisabeth,cuban solitaire
myadestes genibarbis,rufous-throated solitaire
myadestes melanops,black-faced solitaire
myadestes coloratus,varied solitaire
myadestes unicolor,slate-colored solitaire
myadestes ralloides,andean solitaire
myadestes myadestinus,kamao
myadestes woahensis,amaui
myadestes lanaiensis,olomao
myadestes obscurus,omao
myadestes palmeri,puaiohi
zoothera dixoni,long-tailed thrush
zoothera mollissima,alpine thrush
zoothera salimalii,himalayan thrush
zoothera griseiceps,sichuan thrush
zoothera heinrichi,geomalia
zoothera marginata,dark-sided thrush
zoothera monticola,long-billed thrush
zoothera everetti,everett's thrush
zoothera andromedae,sunda thrush
zoothera aurea,white's thrush
zoothera dauma,scaly thrush
zoothera major,amami thrush
zoothera neilgherriensis,nilgiri thrush
zoothera imbricata,sri lanka thrush
zoothera terrestris,bonin thrush
zoothera margaretae,makira thrush
zoothera turipavae,guadalcanal thrush
zoothera lunulata,bassian thrush
zoothera talaseae,new britain thrush
zoothera atrigena,bougainville thrush
zoothera heinei,russet-tailed thrush
zoothera machiki,fawn-breasted thrush
cataponera turdoides,sulawesi thrush
chlamydochaera jefferyi,fruit-hunter
cochoa purpurea,purple cochoa
cochoa viridis,green cochoa
cochoa beccarii,sumatran cochoa
cochoa azurea,javan cochoa
ixoreus naevius,varied thrush
catharus gracilirostris,black-billed nightingale-thrush
catharus aurantiirostris,orange-billed nightingale-thrush
catharus fuscater,slaty-backed nightingale-thrush
catharus occidentalis,russet nightingale-thrush
catharus frantzii,ruddy-capped nightingale-thrush
catharus mexicanus,black-headed nightingale-thrush
catharus dryas,yellow-throated nightingale-thrush
catharus maculatus,speckled nightingale-thrush
catharus fuscescens,veery
catharus minimus,gray-cheeked thrush
catharus bicknelli,bicknell's thrush
catharus ustulatus,swainson's thrush
catharus guttatus,hermit thrush
hylocichla mustelina,wood thrush
entomodestes coracinus,black solitaire
entomodestes leucotis,white-eared solitaire
cichlopsis leucogenys,rufous-brown solitaire
ridgwayia pinicola,aztec thrush
geokichla sibirica,siberian thrush
geokichla wardii,pied thrush
geokichla guttata,spotted ground-thrush
geokichla camaronensis,black-eared ground-thrush
geokichla princei,gray ground-thrush
geokichla crossleyi,crossley's ground-thrush
geokichla oberlaenderi,oberlã¤nder's ground-thrush
geokichla piaggiae,abyssinian ground-thrush
geokichla gurneyi,orange ground-thrush
geokichla cinerea,ashy thrush
geokichla dumasi,buru thrush
geokichla joiceyi,seram thrush
geokichla interpres,chestnut-capped thrush
geokichla leucolaema,enggano thrush
geokichla dohertyi,chestnut-backed thrush
geokichla peronii,orange-banded thrush
geokichla schistacea,slaty-backed thrush
geokichla erythronota,rusty-backed thrush
geokichla mendeni,red-and-black thrush
geokichla citrina,orange-headed thrush
turdus mupinensis,chinese thrush
turdus simensis,ethiopian thrush
turdus litsitsirupa,groundscraper thrush
turdus viscivorus,mistle thrush
turdus philomelos,song thrush
turdus abyssinicus,abyssinian thrush
turdus helleri,taita thrush
turdus roehli,usambara thrush
turdus iliacus,redwing
turdus plebejus,mountain thrush
turdus merula,eurasian blackbird
turdus leucomelas,pale-breasted thrush
turdus fumigatus,cocoa thrush
turdus hauxwelli,hauxwell's thrush
turdus flavipes,yellow-legged thrush
turdus obsoletus,pale-vented thrush
turdus assimilis,white-throated thrush
turdus albicollis,white-necked thrush
turdus rufiventris,rufous-bellied thrush
turdus grayi,clay-colored thrush
turdus nudigenis,spectacled thrush
turdus maculirostris,ecuadorian thrush
turdus sanchezorum,varzea thrush
turdus haplochrous,unicolored thrush
turdus ludoviciae,somali thrush
turdus mandarinus,chinese blackbird
turdus tephronotus,african bare-eyed thrush
turdus libonyana,kurrichane thrush
turdus bewsheri,comoro thrush
turdus menachensis,yemen thrush
turdus olivaceus,olive thrush
turdus smithi,karoo thrush
turdus lherminieri,forest thrush
turdus leucops,pale-eyed thrush
turdus jamaicensis,white-eyed thrush
turdus swalesi,la selle thrush
turdus infuscatus,black thrush
turdus nigrescens,sooty thrush
turdus migratorius,american robin
turdus rufopalliatus,rufous-backed robin
turdus rufitorques,rufous-collared robin
turdus falcklandii,austral thrush
turdus reevei,plumbeous-backed thrush
turdus subalaris,blacksmith thrush
turdus lawrencii,lawrence's thrush
turdus murinus,pantepui thrush
turdus eremita,tristan thrush
turdus amaurochalinus,creamy-bellied thrush
turdus ignobilis,black-billed thrush
turdus arthuri,campina thrush
turdus maranonicus,maraã±on thrush
turdus fulviventris,chestnut-bellied thrush
turdus olivater,black-hooded thrush
turdus fuscater,great thrush
turdus chiguanco,chiguanco thrush
turdus nigriceps,andean slaty thrush
turdus serranus,glossy-black thrush
turdus xanthorhynchus,principe thrush
turdus olivaceofuscus,sao tome thrush
turdus aurantius,white-chinned thrush
turdus ravidus,grand cayman thrush
turdus plumbeus,red-legged thrush
turdus pelios,african thrush
turdus niveiceps,taiwan thrush
turdus boulboul,gray-winged blackbird
turdus simillimus,indian blackbird
turdus cardis,japanese thrush
turdus hortulorum,gray-backed thrush
turdus unicolor,tickell's thrush
turdus dissimilis,black-breasted thrush
turdus feae,gray-sided thrush
turdus obscurus,eyebrowed thrush
turdus chrysolaus,brown-headed thrush
turdus celaenops,izu thrush
turdus pallidus,pale thrush
turdus poliocephalus,island thrush
turdus kessleri,white-backed thrush
turdus maximus,tibetan blackbird
turdus pilaris,fieldfare
turdus albocinctus,white-collared blackbird
turdus rubrocanus,chestnut thrush
turdus torquatus,ring ouzel
turdus atrogularis,black-throated thrush
turdus ruficollis,red-throated thrush
turdus eunomus,dusky thrush
turdus naumanni,naumann's thrush
muscicapa griseisticta,gray-streaked flycatcher
muscicapa sibirica,dark-sided flycatcher
muscicapa ferruginea,ferruginous flycatcher
muscicapa dauurica,asian brown flycatcher
muscicapa randi,ashy-breasted flycatcher
muscicapa segregata,sumba brown flycatcher
muscicapa muttui,brown-breasted flycatcher
muscicapa sodhii,sulawesi brown flycatcher
muscicapa williamsoni,brown-streaked flycatcher
muscicapa adusta,african dusky flycatcher
muscicapa epulata,little flycatcher
muscicapa sethsmithi,yellow-footed flycatcher
muscicapa striata,spotted flycatcher
muscicapa gambagae,gambaga flycatcher
muscicapa aquatica,swamp flycatcher
muscicapa cassini,cassin's flycatcher
bradornis boehmi,bã¶hm's flycatcher
bradornis ussheri,ussher's flycatcher
bradornis fuliginosus,sooty flycatcher
bradornis comitatus,dusky-blue flycatcher
bradornis mariquensis,mariqua flycatcher
bradornis microrhynchus,african gray flycatcher
agricola pallidus,pale flycatcher
agricola infuscatus,chat flycatcher
fraseria cinerascens,white-browed forest-flycatcher
fraseria ocreata,african forest-flycatcher
fraseria griseigularis,gray-throated tit-flycatcher
fraseria plumbea,gray tit-flycatcher
fraseria olivascens,olivaceous flycatcher
fraseria lendu,chapin's flycatcher
fraseria tessmanni,tessmann's flycatcher
fraseria caerulescens,ashy flycatcher
melaenornis herero,herero chat
melaenornis semipartitus,silverbird
melaenornis silens,fiscal flycatcher
melaenornis ardesiacus,yellow-eyed black-flycatcher
melaenornis annamarulae,nimba flycatcher
melaenornis edolioides,northern black-flycatcher
melaenornis pammelaina,southern black-flycatcher
melaenornis fischeri,white-eyed slaty-flycatcher
melaenornis brunneus,angola slaty-flycatcher
melaenornis chocolatinus,abyssinian slaty-flycatcher
humblotia flavirostris,grand comoro flycatcher
alethe diademata,white-tailed alethe
alethe castanea,fire-crested alethe
cercotrichas coryphoeus,karoo scrub-robin
cercotrichas leucosticta,forest scrub-robin
cercotrichas signata,brown scrub-robin
cercotrichas quadrivirgata,bearded scrub-robin
cercotrichas barbata,miombo scrub-robin
cercotrichas podobe,black scrub-robin
cercotrichas galactotes,rufous-tailed scrub-robin
cercotrichas paena,kalahari scrub-robin
cercotrichas hartlaubi,brown-backed scrub-robin
cercotrichas leucophrys,red-backed scrub-robin
copsychus fulicatus,indian robin
copsychus saularis,oriental magpie-robin
copsychus pyrropygus,rufous-tailed shama
copsychus albospecularis,madagascar magpie-robin
copsychus sechellarum,seychelles magpie-robin
copsychus mindanensis,philippine magpie-robin
copsychus malabaricus,white-rumped shama
copsychus stricklandii,white-crowned shama
copsychus albiventris,andaman shama
copsychus luzoniensis,white-browed shama
copsychus superciliaris,visayan shama
copsychus niger,white-vented shama
copsychus cebuensis,black shama
anthipes monileger,white-gorgeted flycatcher
anthipes solitaris,rufous-browed flycatcher
sholicola major,nilgiri sholakili
sholicola albiventris,white-bellied sholakili
cyornis concretus,white-tailed flycatcher
cyornis ruckii,rã¼ck's blue flycatcher
cyornis herioti,blue-breasted blue flycatcher
cyornis camarinensis,rufous-breasted blue flycatcher
cyornis hainanus,hainan blue flycatcher
cyornis pallidipes,white-bellied blue flycatcher
cyornis poliogenys,pale-chinned blue flycatcher
cyornis unicolor,pale blue flycatcher
cyornis rubeculoides,blue-throated flycatcher
cyornis glaucicomans,chinese blue flycatcher
cyornis magnirostris,large blue flycatcher
cyornis whitei,hill blue flycatcher
cyornis banyumas,javan blue flycatcher
cyornis montanus,dayak blue flycatcher
cyornis kadayangensis,meratus blue flycatcher
cyornis caerulatus,sunda blue flycatcher
cyornis turcosus,malaysian blue flycatcher
cyornis lemprieri,palawan blue flycatcher
cyornis superbus,bornean blue flycatcher
cyornis tickelliae,tickell's blue flycatcher
cyornis sumatrensis,indochinese blue flycatcher
cyornis rufigastra,mangrove blue flycatcher
cyornis omissus,sulawesi blue flycatcher
cyornis kalaoensis,kalao blue flycatcher
cyornis brunneatus,brown-chested jungle flycatcher
cyornis nicobaricus,nicobar jungle flycatcher
cyornis umbratilis,gray-chested jungle flycatcher
cyornis olivaceus,fulvous-chested jungle flycatcher
cyornis ruficauda,chestnut-tailed jungle flycatcher
cyornis pelingensis,banggai jungle flycatcher
cyornis colonus,sula jungle flycatcher
niltava grandis,large niltava
niltava macgrigoriae,small niltava
niltava davidi,fujian niltava
niltava sundara,rufous-bellied niltava
niltava sumatrana,rufous-vented niltava
niltava oatesi,chinese vivid niltava
niltava vivida,taiwan vivid niltava
cyanoptila cyanomelana,blue-and-white flycatcher
cyanoptila cumatilis,zappey's flycatcher
eumyias sanfordi,matinan flycatcher
eumyias hoevelli,blue-fronted flycatcher
eumyias hyacinthinus,timor blue flycatcher
eumyias oscillans,flores jungle flycatcher
eumyias stresemanni,sumba jungle flycatcher
eumyias sordidus,dull-blue flycatcher
eumyias albicaudatus,nilgiri flycatcher
eumyias indigo,indigo flycatcher
eumyias thalassinus,verditer flycatcher
eumyias additus,buru jungle flycatcher
eumyias panayensis,turquoise flycatcher
cossyphicula roberti,white-bellied robin-chat
cossypha isabellae,mountain robin-chat
cossypha archeri,archer's robin-chat
cossypha anomala,olive-flanked robin-chat
cossypha caffra,cape robin-chat
cossypha humeralis,white-throated robin-chat
cossypha cyanocampter,blue-shouldered robin-chat
cossypha semirufa,rã¼ppell's robin-chat
cossypha heuglini,white-browed robin-chat
cossypha natalensis,red-capped robin-chat
cossypha dichroa,chorister robin-chat
cossypha heinrichi,white-headed robin-chat
cossypha niveicapilla,snowy-crowned robin-chat
cossypha albicapillus,white-crowned robin-chat
xenocopsychus ansorgei,angola cave-chat
cichladusa arquata,collared palm-thrush
cichladusa ruficauda,rufous-tailed palm-thrush
cichladusa guttata,spotted morning-thrush
erithacus rubecula,european robin
pogonocichla stellata,white-starred robin
swynnertonia swynnertoni,swynnerton's robin
chamaetylas poliocephala,brown-chested alethe
chamaetylas poliophrys,red-throated alethe
chamaetylas choloensis,cholo alethe
chamaetylas fuelleborni,white-chested alethe
stiphrornis pyrrholaemus,olive-backed forest robin
stiphrornis erythrothorax,orange-breasted forest robin
stiphrornis mabirae,yellow-breasted forest robin
sheppardia polioptera,gray-winged robin-chat
sheppardia poensis,short-tailed akalat
sheppardia bocagei,bocage's akalat
sheppardia cyornithopsis,lowland akalat
sheppardia aequatorialis,equatorial akalat
sheppardia sharpei,sharpe's akalat
sheppardia gunningi,east coast akalat
sheppardia gabela,gabela akalat
sheppardia montana,usambara akalat
sheppardia lowei,iringa akalat
sheppardia aurantiithorax,rubeho akalat
leonardina woodi,bagobo robin
vauriella gularis,eyebrowed jungle flycatcher
vauriella insignis,rusty-flanked jungle flycatcher
vauriella albigularis,negros jungle flycatcher
vauriella goodfellowi,mindanao jungle flycatcher
heinrichia calligyna,great shortwing
brachypteryx hyperythra,rusty-bellied shortwing
brachypteryx leucophris,lesser shortwing
